codice;descrizione;tipologia;prezzo
A001;Mouse ottico wireless;informatica;15.90
A002;Tastiera meccanica retroilluminata;informatica;59.90
A003;Monitor 24 pollici Full HD;informatica;129.00
A004;Chiavetta USB 64GB;informatica;12.50
A005;Stampante multifunzione Wi-Fi;informatica;149.00
A006;Notebook 15.6" SSD 512GB;informatica;699.00
A007;Router Wi-Fi dual band;informatica;79.90
A008;Zaino porta PC 15 pollici;cartoleria;39.90
A009;Agenda settimanale 2025;cartoleria;9.50
A010;Penna stilografica nera;cartoleria;24.90
A011;Evidenziatori confezione da 6 colori;cartoleria;6.90
A012;Quaderno A4 a righe;cartoleria;2.50
A013;Calcolatrice scientifica 240 funzioni;cartoleria;18.90
A014;Cuffie wireless con microfono;audio;49.90
A015;Auricolari Bluetooth sportivi;audio;29.90
A016;Cassa portatile impermeabile;audio;69.90
A017;Microfono a condensatore USB;audio;89.00
A018;Amplificatore stereo 2 canali;audio;159.00
A019;Giradischi vintage con Bluetooth;audio;129.00
A020;Cuffie professionali da studio;audio;199.00